grp, Pb, Cu, Zn
1, 0.20, 0.50, 6.20
1, 0.21, 0.53, 5.66
1, 0.19, 0.59, 5.19
1, 0.18, 0.48, 6.16
1, 0.18, 0.58, 5.18
1, 0.19, 0.49, 5.19
1, 0.19, 0.43, 6.16
1, 0.17, 0.47, 5.15
1, 0.17, 0.55, 5.16
1, 0.21, 0.51, 5.25
2, 0.15, 0.55, 4.16
2, 0.10, 0.50, 4.12
2, 0.12, 0.42, 4.12
2, 0.15, 0.55, 3.15
2, 0.15, 0.56, 3.14
2, 0.10, 0.55, 3.10
2, 0.14, 0.54, 3.13
2, 0.15, 0.55, 3.15
2, 0.11, 0.55, 3.11
2, 0.14, 0.55, 2.85
